Country Name,Country Code,Year,Year Code,Consumption of iodized salt (% of households) [SN.ITK.SALT.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) [SH.STA.IYCF.ZS]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],Number of people who are undernourished [SN.ITK.DEFC],Prevalence of anemia among children (% of children ages 6-59 months) [SH.ANM.CHLD.ZS],Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Prevalence of anemia among pregnant women (%) [SH.PRG.ANEM],Prevalence of anemia among women of reproductive age (% of women ages 15-49) [SH.ANM.ALLW.ZS],Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],"Prevalence of overweight, female (% of children under 5) [SH.STA.OWGH.FE.ZS]","Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of children under 5) [SH.STA.OWGH.MA.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]","Prevalence of severe wasting, weight for height (% of children under 5) [SH.SVR.WAST.ZS]","Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]","Prevalence of stunting, height for age (% of children under 5) [SH.STA.STNT.ZS]","Prevalence of stunting, height for age, female (% of children under 5) [SH.STA.STNT.FE.ZS]","Prevalence of stunting, height for age, male (% of children under 5) [SH.STA.STNT.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Prevalence of underweight, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]","Prevalence of underweight, weight for age, male (% of children under 5) [SH.STA.MALN.MA.ZS]","Prevalence of wasting, weight for height (% of children under 5) [SH.STA.WAST.ZS]","Prevalence of wasting, weight for height, female (% of children under 5) [SH.STA.WAST.FE.ZS]","Prevalence of wasting, weight for height, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS]
Lebanon,LBN,2019,YR2019,..,..,..,..,600000,22.8,28.3,27.7,28.3,..,..,..,..,..,..,..,..,..,..,..,..,9.3,..,..,..,..,..,..,..
Lesotho,LSO,2017,YR2017,..,..,..,..,500000,50.5,26.9,33.3,27.3,..,..,..,..,..,..,..,..,..,..,..,..,26,..,..,..,..,..,..,18
Lesotho,LSO,2018,YR2018,..,..,10.8,..,400000,50.7,27.1,33.3,27.5,..,6.6,5.8,..,7.3,..,0.8,0.8,0.8,34.6,32.7,36.6,20.8,10.5,9.1,12,2.1,1.7,2.4,..
Lesotho,LSO,2019,YR2019,..,..,..,..,500000,51.4,27.5,33.5,27.9,..,..,..,..,..,..,..,..,..,..,..,..,23.5,..,..,..,..,..,..,..
Liberia,LBR,2017,YR2017,..,..,..,..,1700000,72.7,41.7,49.9,42.4,..,..,..,..,..,..,..,..,..,..,..,..,36.6,..,..,..,..,..,..,97
Liberia,LBR,2018,YR2018,..,..,..,..,1800000,72.6,41.8,49.8,42.5,..,..,..,..,..,..,..,..,..,..,..,..,37.5,..,..,..,..,..,..,62
Liberia,LBR,2019,YR2019,..,..,..,..,1900000,72.3,41.9,49.7,42.6,..,4.4,4.2,..,4.5,..,0.5,0.4,0.6,29.8,27.9,31.8,38.9,10.9,10.4,11.4,3.4,3.2,3.6,..
Libya,LBY,2017,YR2017,..,..,..,..,..,26.3,29.4,29.3,29.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,LBY,2018,YR2018,..,..,..,..,..,26.4,29.6,29.4,29.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,LBY,2019,YR2019,..,..,..,..,..,26.6,29.9,29.4,29.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,2017,YR2017,..,..,..,..,..,17.6,19.3,21.4,19.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Lithuania,LTU,2018,YR2018,..,..,..,..,..,17.6,19.6,21.5,19.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Lithuania,LTU,2019,YR2019,..,..,..,..,..,17.8,19.9,21.6,19.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Low & middle income,LMY,2017,YR2017,..,..,..,..,546100000,43.05801032,31.87745709,38.51301213,32.03845287,..,..,..,..,..,..,..,..,..,..,..,..,9.728044488,14.76191807,..,..,..,..,..,..
Low & middle income,LMY,2018,YR2018,..,..,..,..,555400000,42.94162997,32.15709922,38.43427057,32.31176586,..,..,..,..,..,..,..,..,..,..,..,..,9.784583234,14.42099476,..,..,..,..,..,..
Low & middle income,LMY,2019,YR2019,..,..,..,..,600500000,42.9263431,32.49347788,38.41571433,32.63962599,..,..,..,..,..,..,..,..,..,..,..,..,10.4226829,14.09790897,..,..,..,..,..,..
Low income,LIC,2017,YR2017,..,..,11.12231844,..,135700000,59.54705531,38.03316967,42.77724342,38.39327143,..,..,..,..,..,..,..,..,..,..,..,..,27.35611911,20.15799904,..,..,..,..,..,49.0315763
Low income,LIC,2018,YR2018,..,..,..,..,140000000,59.32237181,38.20918532,42.65926104,38.5348346,..,..,..,..,..,..,..,..,..,..,..,..,27.49929288,19.72233391,..,..,..,..,..,63.76909598
Low income,LIC,2019,YR2019,..,..,..,..,149700000,59.08072889,38.44543596,42.55289776,38.72725199,..,..,..,..,..,..,..,..,..,..,..,..,28.65502739,19.29380989,..,..,..,..,..,..
Lower middle income,LMC,2017,YR2017,..,..,16.88071965,..,359800000,49.29204589,41.57280985,45.20986678,41.73134221,..,..,..,..,..,..,..,..,..,..,..,..,11.47867294,21.04200363,..,..,..,..,..,..
Lower middle income,LMC,2018,YR2018,..,..,..,..,363900000,48.96247419,41.73992845,45.04992061,41.89489055,..,..,..,..,..,..,..,..,..,..,..,..,11.46328989,20.50638199,..,..,..,..,..,60.74445117
Lower middle income,LMC,2019,YR2019,..,..,..,..,395100000,48.70631285,41.93255515,44.94465849,42.08293128,..,..,..,..,..,..,..,..,..,..,..,..,12.30479674,19.98094559,..,..,..,..,..,..
Luxembourg,LUX,2017,YR2017,..,..,..,..,..,11,9.6,14.6,9.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Luxembourg,LUX,2018,YR2018,..,..,..,..,..,11.3,9.8,14.8,10,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Luxembourg,LUX,2019,YR2019,..,..,..,..,..,11.7,10.1,15,10.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2017,YR2017,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2018,YR2018,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2019,YR2019,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..
Madagascar,MDG,2017,YR2017,..,..,..,..,10800000,49.6,37.4,39.3,37.5,..,..,..,..,..,..,..,..,..,..,..,..,42.3,..,..,..,..,..,..,87
Madagascar,MDG,2018,YR2018,..,..,21.5,..,11200000,49.5,37.5,39.3,37.7,..,1.4,1.2,..,1.6,..,1,0.8,1.1,41.6,38.5,44.6,42.6,26.4,24.2,28.4,6.4,5.3,7.5,96
Madagascar,MDG,2019,YR2019,..,..,..,..,11700000,49.5,37.7,39.3,37.8,..,..,..,..,..,..,..,..,..,..,..,..,43.2,..,..,..,..,..,..,..
Malawi,MWI,2017,YR2017,..,..,..,..,2900000,56.2,29.9,39.2,30.8,..,1.6,0.9,..,2.4,..,0.2,0.2,0.1,39.3,35.2,43.5,16.5,12.6,11.1,14.2,2.4,2.3,2.5,91
Malawi,MWI,2018,YR2018,..,..,..,..,3100000,55.6,30.2,39.2,31,..,2.5,2.4,..,2.7,..,0.1,0,0.1,39,36.6,41.4,16.8,11.8,11.8,11.8,1.3,0.9,1.7,75
Malawi,MWI,2019,YR2019,..,..,..,..,3200000,55.1,30.6,39.3,31.4,..,3.8,3.6,..,4.1,..,0.1,0.2,0.1,40.9,37.8,44.1,17.3,9,8.2,9.8,0.6,0.8,0.4,..
Malaysia,MYS,2017,YR2017,..,..,..,..,1100000,23.1,31.3,31.1,31.3,..,..,..,..,..,..,..,..,..,..,..,..,3.4,..,..,..,..,..,..,..
Malaysia,MYS,2018,YR2018,..,..,..,..,1000000,23.8,31.6,31,31.6,..,..,..,..,..,..,..,..,..,..,..,..,3.2,..,..,..,..,..,..,..
Malaysia,MYS,2019,YR2019,..,..,..,..,1000000,24.6,32,31,32,..,5.2,4.6,..,5.8,..,3.6,1.6,5.6,21.8,23.5,20.2,3.2,14.1,12.6,15.5,9.7,7.9,11.3,..
Maldives,MDV,2017,YR2017,..,63,50.5,..,..,36.8,50.4,48.8,50.3,..,4.9,3,..,6.7,..,2,1.8,2.2,15.3,14.2,16.3,..,14.8,15.4,14.2,9.1,8.1,10.1,69
Maldives,MDV,2018,YR2018,..,..,..,..,..,37.3,51.4,49.1,51.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Maldives,MDV,2019,YR2019,..,..,..,..,..,37.8,52.3,49.3,52.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,MLI,2017,YR2017,..,37.3,..,..,1200000,80.4,58.6,59.1,58.6,..,1.6,1.4,..,1.8,..,2.5,1.9,3.1,24.6,20.9,28,6.3,17.1,14.6,19.4,10.5,9.1,11.8,9
Mali,MLI,2018,YR2018,..,40.4,8.9,..,1500000,79.8,58.8,59.1,58.8,..,2,1.8,..,2.2,..,2.6,2,3.1,26.9,25.7,28,7.7,18.6,17.6,19.6,9,7.6,10.4,93
Mali,MLI,2019,YR2019,..,..,..,..,2000000,79,59,59,59,..,0.7,0.6,..,0.7,..,2,1.6,2.5,26.4,23.7,29,10.4,18.1,15.9,20.2,9.3,7.9,10.7,..
Malta,MLT,2017,YR2017,..,..,..,..,..,16.4,12.8,18.7,13,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Malta,MLT,2018,YR2018,..,..,..,..,..,16.9,13.2,18.9,13.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Malta,MLT,2019,YR2019,..,..,..,..,..,17.4,13.6,19,13.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Marshall Islands,MHL,2017,YR2017,..,43.1,16.3,..,..,40.4,29.6,39.7,30.2,..,4.1,3.2,..,4.9,..,1.1,1.4,0.9,34.8,30,39.3,..,11.9,9.5,14.1,3.5,2.4,4.6,..
Marshall Islands,MHL,2018,YR2018,..,..,..,..,..,39.9,29.8,39.6,30.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands,MHL,2019,YR2019,..,..,..,..,..,39.5,30,39.4,30.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,2017,YR2017,..,..,..,..,400000,67.1,43.1,49.8,43.7,..,..,..,..,..,..,..,..,..,..,..,..,8.6,..,..,..,..,..,..,0
Mauritania,MRT,2018,YR2018,..,40.3,..,..,400000,66.3,42.9,49.5,43.5,..,1.5,1.6,..,1.4,..,2.3,2,2.6,22.8,20.1,25.5,8.7,19.2,17.1,21.2,11.5,9.7,13.3,85
Mauritania,MRT,2019,YR2019,..,..,..,..,400000,65.5,42.8,49.1,43.3,..,..,..,..,..,..,..,..,..,..,..,..,9.1,..,..,..,..,..,..,..
Mauritius,MUS,2017,YR2017,..,..,..,..,100000,28.7,21.9,27.9,22,..,..,..,..,..,..,..,..,..,..,..,..,5.9,..,..,..,..,..,..,..
Mauritius,MUS,2018,YR2018,..,..,..,..,100000,29.6,22.6,27.8,22.7,..,..,..,..,..,..,..,..,..,..,..,..,5.7,..,..,..,..,..,..,..
Mauritius,MUS,2019,YR2019,..,..,..,..,100000,30.7,23.4,27.7,23.5,..,..,..,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..
Mexico,MEX,2017,YR2017,..,..,..,..,7700000,21.9,14.8,20.3,15,..,..,..,..,..,..,..,..,..,..,..,..,6.1,..,..,..,..,..,..,..
Mexico,MEX,2018,YR2018,..,..,..,..,7800000,21.7,14.9,20.2,15.1,..,..,..,..,..,..,..,..,..,..,..,..,6.2,..,..,..,..,..,..,..
Mexico,MEX,2019,YR2019,..,..,..,..,9200000,21.7,15.1,20.2,15.3,..,6.3,6.2,..,6.4,..,0.4,0.1,0.6,14.1,14,14.2,7.2,4.7,5.3,4.2,1.4,1.1,1.8,..
"Micronesia, Fed. Sts.",FSM,2017,YR2017,..,..,..,..,..,37,23.6,35.4,24.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,2018,YR2018,..,..,..,..,..,36.8,23.9,35.4,24.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,2019,YR2019,..,..,..,..,..,36.7,24.4,35.3,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa,MEA,2017,YR2017,..,..,..,..,41900000,33.57908628,29.95027643,30.84905807,29.93403954,..,..,..,..,..,..,..,..,..,..,..,..,10.38284919,5.160609722,..,..,..,..,..,..
Middle East & North Africa,MEA,2018,YR2018,..,..,..,..,41800000,33.53527649,30.12050676,30.77980445,30.08729197,..,..,..,..,..,..,..,..,..,..,..,..,10.38078082,5.001466751,..,..,..,..,..,..
Middle East & North Africa,MEA,2019,YR2019,..,..,..,..,43600000,33.62832215,30.34081546,30.75888651,30.32373619,..,..,..,..,..,..,..,..,..,..,..,..,10.65035289,4.846980572,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,2017,YR2017,..,..,..,..,40000000,35.26102797,30.81140746,31.48274909,30.77723948,..,..,..,..,..,..,..,..,..,..,..,..,11.53924825,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,2018,YR2018,..,..,..,..,39800000,35.18912234,30.95769752,31.40257733,30.91240657,..,..,..,..,..,..,..,..,..,..,..,..,11.52651938,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,2019,YR2019,..,..,..,..,41500000,35.25534535,31.1601643,31.36860443,31.13486452,..,..,..,..,..,..,..,..,..,..,..,..,11.82404674,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,2017,YR2017,..,..,..,..,40000000,35.26102797,30.81140746,31.48274909,30.77723948,..,..,..,..,..,..,..,..,..,..,..,..,11.53924825,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,2018,YR2018,..,..,..,..,39800000,35.18912234,30.95769752,31.40257733,30.91240657,..,..,..,..,..,..,..,..,..,..,..,..,11.52651938,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,2019,YR2019,..,..,..,..,41500000,35.25534535,31.1601643,31.36860443,31.13486452,..,..,..,..,..,..,..,..,..,..,..,..,11.82404674,..,..,..,..,..,..,..
Middle income,MIC,2017,YR2017,..,..,..,..,410400000,39.83193865,31.25146166,37.61862255,31.39220968,..,..,..,..,..,..,..,..,..,..,..,..,8.167998047,13.6916914,..,..,..,..,..,..
Middle income,MIC,2018,YR2018,..,..,..,..,415400000,39.68473251,31.52616651,37.53332878,31.66300814,..,..,..,..,..,..,..,..,..,..,..,..,8.192714473,13.35217571,..,..,..,..,..,..
Middle income,MIC,2019,YR2019,..,..,..,..,450800000,39.65832664,31.85684811,37.51818317,31.98848499,..,..,..,..,..,..,..,..,..,..,..,..,8.758669983,13.03181839,..,..,..,..,..,..
Moldova,MDA,2017,YR2017,..,..,..,..,..,26.5,26,27.6,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,2018,YR2018,..,..,..,..,..,26.7,26,27.6,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,2019,YR2019,..,..,..,..,..,27,26,27.6,26.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,2017,YR2017,..,..,..,..,..,13.6,11.5,16.4,11.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,2018,YR2018,..,..,..,..,..,13.9,11.8,16.6,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,2019,YR2019,..,..,..,..,..,14.3,12.1,16.8,12.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,2017,YR2017,..,..,..,..,200000,20.8,13.5,24.9,14.1,..,..,..,..,..,..,..,..,..,..,..,..,6.3,..,..,..,..,..,..,83
Mongolia,MNG,2018,YR2018,..,..,28.3,..,200000,21.2,13.6,24.8,14.3,..,10.5,9.8,..,11.2,..,0.3,0.3,0.3,9.4,7.8,10.9,5.5,1.8,1.7,2,0.9,0.8,1,..
Mongolia,MNG,2019,YR2019,..,..,..,..,100000,21.7,13.9,24.9,14.5,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,..
Montenegro,MNE,2017,YR2017,..,..,..,..,..,14.4,16.5,20.4,16.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Montenegro,MNE,2018,YR2018,..,..,..,..,..,14.5,16.8,20.5,16.9,..,7.3,8,..,6.7,..,0.5,0.1,0.8,7.2,8.5,6.2,2.5,3.7,3.6,3.8,2.2,1.9,2.4,..
Montenegro,MNE,2019,YR2019,..,..,..,..,..,14.7,17.1,20.6,17.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Morocco,MAR,2017,YR2017,..,35,..,..,1300000,30.1,29.4,32.8,29.6,..,10.9,9.3,..,12.4,..,1.1,1.3,0.9,15.1,12.6,17.4,3.7,2.6,2.5,2.6,2.6,2.8,2.4,99
Morocco,MAR,2018,YR2018,..,..,..,..,1300000,30.2,29.6,32.7,29.7,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,..,..,..,..,..
Morocco,MAR,2019,YR2019,..,..,..,..,1500000,30.4,29.8,32.6,29.9,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..,..
Mozambique,MOZ,2017,YR2017,..,..,..,..,9000000,66.9,48.2,46.8,48.1,..,..,..,..,..,..,..,..,..,..,..,..,31.4,..,..,..,..,..,..,61
Mozambique,MOZ,2018,YR2018,..,..,..,..,9100000,67.7,48.1,46.3,48,..,..,..,..,..,..,..,..,..,..,..,..,31,..,..,..,..,..,..,64
Mozambique,MOZ,2019,YR2019,..,..,..,..,9500000,68.2,48.1,45.8,47.9,..,..,..,..,..,..,..,..,..,..,..,..,31.2,..,..,..,..,..,..,..
Myanmar,MMR,2017,YR2017,..,..,..,..,4300000,49.6,41,47.7,41.2,..,..,..,..,..,..,..,..,..,..,..,..,8.1,..,..,..,..,..,..,89
Myanmar,MMR,2018,YR2018,..,..,..,..,4200000,49.6,41.4,47.8,41.7,..,0.8,0.5,..,1.1,..,0.8,0.7,1,26.7,26.8,26.7,7.8,19.1,19.5,18.7,6.7,6.1,7.2,83
Myanmar,MMR,2019,YR2019,..,..,..,..,4100000,49.6,41.9,47.8,42.1,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..
Namibia,NAM,2017,YR2017,..,..,..,..,500000,46.3,24.2,29,24.6,..,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,..,..,27
Namibia,NAM,2018,YR2018,..,..,..,..,500000,46.1,24.5,28.9,24.8,..,..,..,..,..,..,..,..,..,..,..,..,19.9,..,..,..,..,..,..,44
Namibia,NAM,2019,YR2019,..,..,..,..,500000,46.1,24.9,29,25.2,..,..,..,..,..,..,..,..,..,..,..,..,19.8,..,..,..,..,..,..,..
Nauru,NRU,2017,YR2017,..,..,..,..,..,43,29,36.4,29.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nauru,NRU,2018,YR2018,..,..,..,..,..,42.3,29.1,36.1,29.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nauru,NRU,2019,YR2019,..,..,..,..,..,41.8,29.2,35.9,29.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,2017,YR2017,94.2,65.2,..,..,1200000,44.5,35,43,35.3,..,..,..,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..,81
Nepal,NPL,2018,YR2018,..,..,..,..,1200000,44.5,35.1,42.7,35.5,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,..,..,..,76
Nepal,NPL,2019,YR2019,..,..,..,..,1400000,44.6,35.4,42.5,35.7,..,2.6,2.3,..,2.8,..,2.9,2.5,3.3,31.5,30,32.9,4.8,24.4,23.9,25,12,10.4,13.5,..
Netherlands,NLD,2017,YR2017,..,..,..,..,..,14.6,12.1,16.9,12.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Netherlands,NLD,2018,YR2018,..,..,..,..,..,15.1,12.4,17.1,12.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Netherlands,NLD,2019,YR2019,..,..,..,..,..,15.5,12.7,17.2,12.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
New Caledonia,NCL,2017,YR2017,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8,..,..,..,..,..,..,..
New Caledonia,NCL,2018,YR2018,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,..,..,..,..
New Caledonia,NCL,2019,YR2019,..,..,..,..,100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.9,..,..,..,..,..,..,..
New Zealand,NZL,2017,YR2017,..,..,..,..,..,14.5,9.6,15.8,9.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
New Zealand,NZL,2018,YR2018,..,..,..,..,..,14.9,9.9,15.9,10.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
New Zealand,NZL,2019,YR2019,..,..,..,..,..,15.3,10.2,16.1,10.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Nicaragua,NIC,2017,YR2017,..,..,..,..,1100000,19.6,14.1,23.4,14.6,..,..,..,..,..,..,..,..,..,..,..,..,17.6,..,..,..,..,..,..,..
Nicaragua,NIC,2018,YR2018,..,..,..,..,1200000,20.2,14.7,23.7,15.1,..,..,..,..,..,..,..,..,..,..,..,..,18.2,..,..,..,..,..,..,..
Nicaragua,NIC,2019,YR2019,..,..,..,..,1300000,20.9,15.3,23.9,15.7,..,..,..,..,..,..,..,..,..,..,..,..,19.3,..,..,..,..,..,..,..
Niger,NER,2017,YR2017,..,..,..,..,..,73.8,48.5,55.3,49.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53
Niger,NER,2018,YR2018,..,..,..,..,..,72.9,48.6,55.1,49.5,..,1,0.8,..,1.3,..,3,1.9,4,48.5,46.5,50.5,..,37.5,36.8,38.3,14.1,11.5,16.8,64
Niger,NER,2019,YR2019,..,..,..,..,..,72,48.6,54.9,49.5,..,1.4,1.5,..,1.2,..,2.4,1.9,2.9,47.1,44.5,49.6,..,31.3,29.3,33.4,9.8,9,10.5,..
Nigeria,NGA,2017,YR2017,..,23.3,15.473305,..,19200000,70.4,54.8,56.2,54.9,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,83
Nigeria,NGA,2018,YR2018,..,28.7,10.6,..,21000000,69.7,54.9,56,55,..,2.1,1.8,..,2.3,..,1.8,1.4,2.2,36.8,34.1,39.4,10.7,21.8,20.4,23.1,6.8,5.5,8,80
Nigeria,NGA,2019,YR2019,..,..,..,..,29400000,68.9,55,55.9,55.1,..,..,..,..,..,..,..,..,..,..,..,..,14.6,..,..,..,..,..,..,..
North America,NAC,2017,YR2017,..,..,..,..,..,6.465234537,11.02806721,11.49637684,11.04829459,..,..,..,..,..,..,..,..,..,..,..,..,2.5,0.699455202,..,..,..,..,..,..
North America,NAC,2018,YR2018,..,..,..,..,..,6.610289732,11.32711133,11.69532203,11.34745117,..,..,..,..,..,..,..,..,..,..,..,..,2.5,0.689580858,..,..,..,..,..,..
North America,NAC,2019,YR2019,..,..,..,..,..,6.755481198,11.63622998,11.90266789,11.65670124,..,..,..,..,..,..,..,..,..,..,..,..,2.5,0.679844916,..,..,..,..,..,..
North Macedonia,MKD,2017,YR2017,..,..,..,..,100000,22.9,18.3,26,18.5,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,..,..
North Macedonia,MKD,2018,YR2018,..,..,..,..,..,21.4,18.7,25.8,18.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
North Macedonia,MKD,2019,YR2019,..,..,..,..,100000,20.4,19.1,25.7,19.3,..,11.2,9,..,13.1,..,0.5,0.5,0.5,4.3,4,4.5,2.7,0.9,1.1,0.7,3.4,3.3,3.5,..
Northern Mariana Islands,MNP,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,2017,YR2017,..,..,..,..,..,12.8,11.3,16.3,11.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Norway,NOR,2018,YR2018,..,..,..,..,..,13.1,11.6,16.4,11.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Norway,NOR,2019,YR2019,..,..,..,..,..,13.5,11.9,16.7,12,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Not classified,INX,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Not classified,INX,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
