Country Name,Country Code,Year,Year Code,"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, measles second dose (% of children by the nationally recommended age) [SH.IMM.MEA2]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]"
Thailand,THA,2017,YR2017,99,99,99,..,99,95,99
Thailand,THA,2018,YR2018,99,97,97,..,96,87,97
Thailand,THA,2019,YR2019,99,97,97,..,96,87,97
Timor-Leste,TLS,2017,YR2017,95,83,83,83,77,57,83
Timor-Leste,TLS,2018,YR2018,95,83,83,83,77,54,83
Timor-Leste,TLS,2019,YR2019,95,83,83,83,85,80,90
Togo,TGO,2017,YR2017,89,83,83,83,77,..,76
Togo,TGO,2018,YR2018,97,81,81,81,71,..,58
Togo,TGO,2019,YR2019,98,84,84,84,75,67,78
Tonga,TON,2017,YR2017,99,99,99,99,99,99,99
Tonga,TON,2018,YR2018,99,99,99,99,99,99,99
Tonga,TON,2019,YR2019,99,99,99,99,99,99,99
Trinidad and Tobago,TTO,2017,YR2017,..,89,89,89,93,90,94
Trinidad and Tobago,TTO,2018,YR2018,..,99,99,99,90,92,99
Trinidad and Tobago,TTO,2019,YR2019,..,93,93,93,99,92,93
Tunisia,TUN,2017,YR2017,93,92,92,92,91,91,92
Tunisia,TUN,2018,YR2018,93,90,90,90,89,92,90
Tunisia,TUN,2019,YR2019,92,92,92,92,95,93,92
Turkey,TUR,2017,YR2017,93,96,96,96,96,86,96
Turkey,TUR,2018,YR2018,96,98,98,98,96,87,98
Turkey,TUR,2019,YR2019,96,99,99,99,97,88,99
Turkmenistan,TKM,2017,YR2017,98,99,99,99,99,99,99
Turkmenistan,TKM,2018,YR2018,98,99,99,99,99,99,99
Turkmenistan,TKM,2019,YR2019,98,99,99,99,99,99,99
Turks and Caicos Islands,TCA,2017,YR2017,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,2018,YR2018,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,2019,YR2019,..,..,..,..,..,..,..
Tuvalu,TUV,2017,YR2017,99,96,96,96,95,94,96
Tuvalu,TUV,2018,YR2018,99,89,89,89,88,81,89
Tuvalu,TUV,2019,YR2019,99,92,92,92,96,92,92
Uganda,UGA,2017,YR2017,89,94,94,94,83,..,90
Uganda,UGA,2018,YR2018,88,93,93,93,86,..,88
Uganda,UGA,2019,YR2019,88,93,93,93,87,..,92
Ukraine,UKR,2017,YR2017,84,50,52,39,86,84,48
Ukraine,UKR,2018,YR2018,90,69,67,58,91,90,71
Ukraine,UKR,2019,YR2019,84,80,76,80,93,92,78
United Arab Emirates,ARE,2017,YR2017,95,97,98,98,99,99,96
United Arab Emirates,ARE,2018,YR2018,95,99,99,99,99,99,99
United Arab Emirates,ARE,2019,YR2019,94,99,98,99,99,99,95
United Kingdom,GBR,2017,YR2017,..,94,..,94,92,88,94
United Kingdom,GBR,2018,YR2018,..,94,..,94,92,88,94
United Kingdom,GBR,2019,YR2019,..,93,93,93,91,87,93
United States,USA,2017,YR2017,..,95,93,93,92,94,94
United States,USA,2018,YR2018,..,94,91,92,92,94,93
United States,USA,2019,YR2019,..,94,91,91,90,95,93
Upper middle income,UMC,2017,YR2017,95.63925719,94.23055028,92.84736893,37.7668127,93.6687799,89.23768771,92.9271445
Upper middle income,UMC,2018,YR2018,95.57850792,94.20549681,92.60515948,37.45100511,95.19123707,91.20191551,93.43569067
Upper middle income,UMC,2019,YR2019,93.54954348,92.69104694,91.59384565,37.09886233,93.62694018,87.4732656,93.55877693
Uruguay,URY,2017,YR2017,98,93,93,93,96,92,93
Uruguay,URY,2018,YR2018,98,91,91,91,97,91,91
Uruguay,URY,2019,YR2019,99,94,94,94,96,99,93
Uzbekistan,UZB,2017,YR2017,99,99,99,99,99,99,99
Uzbekistan,UZB,2018,YR2018,96,98,98,98,96,99,98
Uzbekistan,UZB,2019,YR2019,99,96,96,96,98,99,98
Vanuatu,VUT,2017,YR2017,95,85,85,85,80,..,83
Vanuatu,VUT,2018,YR2018,94,85,85,85,75,..,85
Vanuatu,VUT,2019,YR2019,97,90,90,90,80,..,90
"Venezuela, RB",VEN,2017,YR2017,94,66,66,66,96,59,79
"Venezuela, RB",VEN,2018,YR2018,92,60,60,60,74,39,53
"Venezuela, RB",VEN,2019,YR2019,91,64,64,64,93,13,62
Vietnam,VNM,2017,YR2017,97,94,94,94,97,93,94
Vietnam,VNM,2018,YR2018,95,75,75,75,97,90,90
Vietnam,VNM,2019,YR2019,96,89,89,89,95,92,89
Virgin Islands (U.S.),VIR,2017,YR2017,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,2018,YR2018,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,2019,YR2019,..,..,..,..,..,..,..
West Bank and Gaza,PSE,2017,YR2017,..,..,..,..,..,..,..
West Bank and Gaza,PSE,2018,YR2018,..,..,..,..,..,..,..
West Bank and Gaza,PSE,2019,YR2019,..,..,..,..,..,..,..
World,WLD,2017,YR2017,89.36523484,85.7954246,83.65028522,71.08487466,85.25726622,67.85907764,85.51518311
World,WLD,2018,YR2018,89.07187488,85.61666916,83.46807141,71.01346659,85.64806027,69.17624017,85.55316603
World,WLD,2019,YR2019,88.2155777,85.69095664,84.95075328,71.52908279,85.69618327,70.7855085,85.78457653
"Yemen, Rep.",YEM,2017,YR2017,66,68,68,68,65,46,62
"Yemen, Rep.",YEM,2018,YR2018,64,65,65,65,64,46,59
"Yemen, Rep.",YEM,2019,YR2019,69,73,73,73,67,46,67
Zambia,ZMB,2017,YR2017,99,94,94,94,96,64,92
Zambia,ZMB,2018,YR2018,91,90,90,90,94,65,90
Zambia,ZMB,2019,YR2019,95,88,88,88,93,66,89
Zimbabwe,ZWE,2017,YR2017,95,89,89,89,90,78,89
Zimbabwe,ZWE,2018,YR2018,95,89,89,89,88,78,89
Zimbabwe,ZWE,2019,YR2019,95,90,90,90,85,75,90
